CS1(0+068)		
73.54	15.21	
79.43	15.49	
81.63	15.5	
90.83	15.51	
CS17(1+645)		
-59.07	14.78	
-55.16	14.81	
-51.66	14.79	
-46.39	14.77	
-43.07	14.78	
-39.16	14.76	
-34.34	14.73	
-31.55	14.69	
-24.47	14.52	
-22.56	14.44	
-21.44	14.33	
-19.73	14.29	
-18.96	13.63	
-17.96	13.37	
-15.96	13.31	
-12.33	13.2	
-10.80  13.22		
-9.98	12.53	
-9.83	12.94	
-6.09	12.79	
-4.15	12.58	
-1.95	12.47	
0	12.26	河口
0.56	12.27	
1.1	11.65	水
2.17	11.25	
2.18	11.15	
3.67	10.95	
3.67	11.15	
5.09	10.55	
5.1	10.85	
7.09	10.25	
7.1	10.65	
9.09	9.85	
9.1	10.35	
11.09	9.75	
11.1	10.15	
12.85	10.1	
12.85	9.5	
15.43	10.1	
15.44	9.5	
17.67	10.15	
17.67	9.75	
19.67	10.35	
19.67	9.85	
21.67	10.65	
21.67	10.25	
23.67	10.85	
23.67	11	
25.67	11.27	
25.67	10.06	
27.68	11.65	水
29.4	12.36	
30.82	13.11	河口
31.4	13.13	
34.29	13.21	
37.25	13.28	
39.58	13.49	
42.76	14.02	
44.29	14.13	
46.37	14.44	
47.24	14.47	
50.07	14.5	
51.76	14.51	
53.2	14.6	
54.78	14.67	
56.63	14.78	
61.27	14.95	
66.08	15.12	
69.14	15.25	
71.89	15.24	
75.16	15.07	
79.68	14.92	
83.59	14.93	
88.8	14.95	
96.3	14.98	
CS18(1+745)		
-50.56	15.2	
-45.4	15.19	
-41.72	15.18	
-36.04	14.9	
-31.68	14.61	
-27.37	14.41	
-24.42	14.38	
-21.72	14.36	
-20.01	14.38	
-18.19	14.24	
-16.17	14.01	
-14.38	13.87	
-13	13.88	
-10.31	13.84	
-6.01	13.65	
-2.92	13.52	
0	13.25	河口
1.4	12.7	
2.66	11.65	水
4.64	11.35	
4.64	11.15	
6.68	10.85	
6.68	11.15	
7.94	10.35	
7.95	10.85	
9.18	9.85	
9.18	10.35	
11.18	9.75	
11.18	10.15	
12.93	10.1	
12.94	9.5	
15.52	10.1	
15.52	9.5	
17.76	10.15	
17.76	9.75	
19.76	10.35	
19.76	9.85	
21.76	10.65	
21.76	10.25	
23.49	10.7	
23.49	10.3	
25.49	11.1	
25.51	10.8	
26.87	11.11	
26.88	11.31	
28.74	11.39	
28.76	11.2	
30.14	11.29	
30.15	11.53	
31.49	11.65	水
33.71	11.92	
34.91	12.32	
36.02	12.79	河口
36.8	12.89	
39.29	13.15	
42.13	13.56	
44.75	14.07	
45.8	14.33	
47.36	14.34	
48.65	14.63	
50.04	14.69	
51.31	14.73	
54.28	14.91	
56.72	15.1	
59.05	15.31	
